,# mesurment,ex_wl,spectro_center_wl,grating,spf,lpf,lpf2,av_power,std_power,num_power,time_taken,ex_time,em_wl,counts
0,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,131.38423,3096.0
1,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,131.38423,3118.0
2,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,131.38423,3107.0
3,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,131.38423,3121.0
4,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,131.38423,3122.0
5,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,131.90973,3113.0
6,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,131.90973,3107.0
7,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,131.90973,3106.0
8,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,131.90973,3111.0
9,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,131.90973,3093.0
10,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,132.43523,3106.0
11,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,132.43523,3099.0
12,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,132.43523,3098.0
13,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,132.43523,3086.0
14,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,132.43523,3109.0
15,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,132.96072,3098.0
16,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,132.96072,3078.0
17,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,132.96072,3100.0
18,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,132.96072,3118.0
19,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,132.96072,3095.0
20,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,133.48622,3113.0
21,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,133.48622,3114.0
22,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,133.48622,3093.0
23,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,133.48622,3114.0
24,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,133.48622,3106.0
25,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,134.01172,3083.0
26,2,450,550,2,500,500,0,1.0657906158e-05,3.8800292488885074e-08,100.0,h10m56,10,134.01172,3105.0
27,3,450,550,2,500,500,0,1.066019672156863e-05,4.2198455634617606e-08,102.0,h10m59,10,134.01172,3089.0
28,4,450,550,2,500,500,0,1.0657756250000002e-05,3.676017603763457e-08,104.0,h11m2,10,134.01172,3127.0
29,5,450,550,2,500,500,0,1.0657255509708738e-05,3.6492607791421904e-08,103.0,h11m5,10,134.01172,3096.0
30,1,450,550,2,500,500,0,1.0660203792857145e-05,3.599387450406727e-08,98.0,h10m53,10,134.53722,3125.0
